,State,union territory,capital,j capital,year
0,Andaman and Nicobar Islands,Port Blair,b' \n',b'Kolkata\n',1955
1,Andhra Pradesh,Hyderabad,b'Amaravati',b'Amaravati',19562017
2,Arunachal Pradesh,Itanagar,b'Itanagar\n',b'Guwahati',1986
3,Assam,Dispur,b'Guwahati',b'Guwahati\n',1975
4,Bihar,Patna,b'Patna\n',b'Patna\n',1912
5,Chandigarh,Chandigarh,b' \n',b'Chandigarh\n',1966
6,Chhattisgarh,Atal Nagar,b'Raipur\n',b'Bilaspur',2000
7,Dadra and Nagar Haveli,Silvassa,b' \n',b'Mumbai',1945
8,Daman and Diu,Daman,b' \n',b'Mumbai',1987
9,National Capital Territory of Delhi,New Delhi,b'New Delhi\n',b'New Delhi\n',1931
10,Goa,Panaji,b'Porvorim',b'Mumbai',1961
11,Gujarat,Gandhinagar,b'Gandhinagar\n',b'Ahmedabad',1960
12,Haryana,Chandigarh,b'Chandigarh\n',b'Chandigarh\n',1966
13,Himachal Pradesh,Shimla,b'Shimla (Summer)\n',b'Shimla \n',"1971
2017"
14,Jammu and Kashmir,Srinagar,b'Srinagar (Summer)',b'Srinagar (Summer)',1947
15,Jharkhand,Ranchi,b'Ranchi\n',b'Ranchi\n',2000
16,Karnataka,Bengaluru,b'Bengaluru\n',b'Bengaluru\n',1940
17,Kerala,Thiruvananthapuram,b'Thiruvananthapuram\n',b'Kochi',1956
18,Lakshadweep,Kavaratti,b' \n',b'Kochi',1956
19,Madhya Pradesh,Bhopal,b'Bhopal\n',b'Jabalpur',1956
20,Maharashtra,Mumbai,b'Mumbai (Summer)\n',b'Mumbai\n',1818
21,Manipur,Imphal,b'Imphal\n',b'Imphal\n',1947
22,Meghalaya,Shillong,b'Shillong\n',b'Shillong\n',1970
23,Mizoram,Aizawl,b'Aizawl\n',b'Guwahati',1972
24,Nagaland,Kohima,b'Kohima\n',b'Guwahati',1963
25,Odisha,Bhubaneswar,b'Bhubaneswar\n',b'Cuttack',1948
26,Puducherry,Puducherry,b'Puducherry\n',b'Chennai',1954
27,Punjab,Chandigarh,b'Chandigarh\n',b'Chandigarh\n',1966
28,Rajasthan,Jaipur,b'Jaipur\n',b'Jodhpur',1950
29,Sikkim,Gangtok,b'Gangtok\n',b'Gangtok\n',1890
30,Tamil Nadu,Chennai,b'Chennai\n',b'Chennai\n',1956
31,Telangana,Hyderabad,b'Hyderabad\n',b'Hyderabad\n',2014
32,Tripura,Agartala,b'Agartala\n',b'Agartala\n',1956
33,Uttar Pradesh,Lucknow,b'Lucknow\n',b'Allahabad',1938
34,Uttarakhand,Dehradun,b'Dehradun\n',b'Nainital',2000
35,West Bengal,Kolkata,b'Kolkata\n',b'Kolkata\n',1947
